iter	Passed	Remaining
0	3	6417
1	7	6210
2	10	5898
3	13	6109
4	16	5914
5	19	5785
6	22	5757
7	26	5733
8	29	5692
9	32	5639
10	35	5625
11	37	5551
12	40	5515
13	43	5500
14	47	5512
15	49	5484
16	52	5462
17	56	5467
18	59	5445
19	62	5431
20	65	5433
21	68	5429
22	71	5429
23	74	5443
24	77	5448
25	80	5433
26	83	5418
27	87	5424
28	89	5405
29	92	5393
30	96	5427
31	100	5454
32	103	5447
33	106	5447
34	109	5438
35	113	5464
36	117	5513
37	120	5511
38	124	5511
39	127	5531
40	131	5534
41	134	5546
42	137	5540
43	140	5532
44	144	5555
45	147	5546
46	151	5547
47	154	5557
48	158	5576
49	161	5569
50	165	5572
51	168	5582
52	172	5581
53	176	5620
54	180	5621
55	183	5622
56	187	5636
57	190	5631
58	194	5640
59	197	5633
60	200	5629
61	204	5635
62	207	5637
63	210	5627
64	214	5634
65	217	5619
66	220	5608
67	223	5605
68	226	5599
69	230	5600
70	233	5593
71	239	5659
72	247	5761
73	251	5772
74	255	5781
75	258	5776
76	262	5769
77	290	6299
78	296	6357
79	302	6389
80	305	6378
81	308	6362
82	311	6344
83	315	6333
84	318	6315
85	321	6299
86	324	6293
87	328	6278
88	331	6268
89	335	6270
90	338	6254
91	341	6244
92	345	6236
93	349	6234
94	352	6224
95	356	6216
96	359	6209
97	363	6203
98	366	6194
99	369	6185
100	373	6182
101	376	6167
102	380	6158
103	383	6158
104	387	6151
105	390	6140
106	394	6139
107	397	6125
108	400	6116
109	405	6119
110	408	6107
111	411	6103
112	414	6090
113	418	6082
114	421	6071
115	424	6061
116	428	6054
117	431	6044
118	434	6038
119	438	6034
120	442	6031
121	445	6025
122	448	6014
123	452	6010
124	455	6003
125	458	5995
126	462	5991
127	465	5980
128	468	5970
129	472	5964
130	475	5956
131	478	5948
132	482	5946
133	486	5945
134	490	5952
135	494	5946
136	497	5939
137	501	5939
138	504	5931
139	507	5919
140	511	5919
141	514	5910
142	518	5901
143	521	5898
144	524	5889
145	528	5884
146	531	5879
147	534	5869
148	537	5859
149	541	5856
150	544	5849
151	548	5847
152	552	5847
153	555	5838
154	559	5831
155	562	5828
156	566	5823
157	569	5817
158	573	5813
159	576	5809
160	580	5806
161	583	5802
162	586	5794
163	590	5790
164	593	5784
165	597	5776
166	600	5773
167	603	5762
168	606	5755
169	610	5751
170	613	5742
171	616	5739
172	620	5738
173	624	5734
174	627	5727
175	631	5724
176	634	5717
177	638	5715
178	641	5711
179	645	5704
180	648	5699
181	651	5694
182	655	5688
183	658	5686
184	662	5679
185	665	5673
186	668	5666
187	671	5659
188	675	5655
189	678	5651
190	682	5651
191	685	5642
192	689	5639
193	692	5630
194	695	5623
195	698	5619
196	702	5614
197	705	5606
198	708	5601
199	711	5592
200	714	5586
201	718	5582
202	721	5575
203	724	5569
204	727	5564
205	731	5558
206	734	5552
207	737	5546
208	740	5538
209	743	5530
210	746	5523
211	749	5515
212	752	5510
213	755	5503
214	759	5497
215	762	5491
216	765	5483
217	768	5475
218	771	5469
219	774	5462
220	777	5458
221	781	5454
222	784	5449
223	787	5444
224	790	5437
225	794	5432
226	797	5426
227	800	5420
228	803	5414
229	806	5407
230	809	5401
231	812	5394
232	815	5386
233	818	5379
234	821	5372
235	824	5365
236	827	5358
237	830	5351
238	834	5349
239	837	5343
240	840	5337
241	843	5332
242	846	5326
243	849	5319
244	852	5314
245	856	5310
246	859	5304
247	862	5298
248	865	5293
249	869	5292
250	873	5291
251	878	5296
252	881	5295
253	885	5290
254	889	5288
255	892	5284
256	895	5279
257	899	5276
258	902	5271
259	906	5269
260	909	5266
261	912	5259
262	916	5259
263	920	5256
264	923	5249
265	926	5248
266	930	5242
267	933	5236
268	936	5231
269	939	5224
270	942	5221
271	946	5217
272	949	5213
273	952	5208
274	956	5207
275	960	5204
276	963	5199
277	966	5194
278	969	5188
279	972	5182
280	976	5179
281	979	5174
282	982	5170
283	986	5166
284	989	5160
285	992	5154
286	995	5150
287	998	5143
288	1001	5137
289	1004	5131
290	1007	5125
291	1010	5120
292	1013	5114
293	1016	5109
294	1019	5103
295	1022	5098
296	1025	5093
297	1028	5089
298	1032	5084
299	1035	5081
300	1038	5075
301	1041	5069
302	1044	5065
303	1047	5060
304	1050	5054
305	1054	5049
306	1057	5044
307	1060	5038
308	1063	5033
309	1066	5028
310	1068	5021
311	1072	5016
312	1075	5012
313	1078	5006
314	1081	5000
315	1084	4995
316	1087	4991
317	1090	4986
318	1093	4980
319	1096	4976
320	1099	4970
321	1102	4965
322	1106	4963
323	1109	4958
324	1112	4952
325	1115	4949
326	1118	4943
327	1121	4938
328	1124	4933
329	1128	4929
330	1130	4923
331	1134	4918
332	1136	4912
333	1139	4907
334	1143	4904
335	1146	4898
336	1149	4893
337	1152	4887
338	1155	4882
339	1158	4879
340	1161	4873
341	1164	4868
342	1167	4863
343	1170	4858
344	1173	4853
345	1176	4848
346	1179	4843
347	1182	4838
348	1186	4836
349	1189	4831
350	1192	4826
351	1195	4822
352	1198	4817
353	1201	4813
354	1204	4808
355	1207	4803
356	1210	4799
357	1214	4795
358	1217	4790
359	1220	4786
360	1223	4783
361	1226	4779
362	1230	4777
363	1234	4774
364	1237	4770
365	1240	4766
366	1244	4764
367	1247	4760
368	1251	4757
369	1254	4755
370	1257	4750
371	1261	4746
372	1264	4743
373	1267	4739
374	1271	4735
375	1274	4731
376	1277	4727
377	1280	4723
378	1284	4720
379	1287	4715
380	1290	4711
381	1293	4708
382	1297	4704
383	1300	4700
384	1304	4698
385	1307	4696
386	1312	4695
387	1316	4694
388	1319	4689
389	1323	4688
390	1326	4685
391	1329	4681
392	1333	4680
393	1337	4677
394	1340	4673
395	1344	4671
396	1348	4670
397	1352	4668
398	1356	4667
399	1359	4664
400	1363	4663
401	1368	4662
402	1371	4660
403	1375	4656
404	1378	4652
405	1381	4647
406	1384	4643
407	1387	4637
408	1412	4706
409	1419	4717
410	1423	4712
411	1426	4707
412	1429	4703
413	1432	4698
414	1435	4693
415	1438	4689
416	1441	4684
417	1444	4679
418	1447	4675
419	1451	4671
420	1454	4667
421	1457	4662
422	1460	4657
423	1463	4653
424	1466	4647
425	1469	4642
426	1472	4638
427	1475	4633
428	1478	4627
429	1481	4623
430	1484	4619
431	1487	4614
432	1490	4609
433	1493	4604
434	1496	4599
435	1499	4594
436	1503	4591
437	1506	4586
438	1508	4581
439	1512	4578
440	1515	4573
441	1518	4569
442	1521	4564
443	1524	4559
444	1527	4555
445	1530	4550
446	1533	4546
447	1536	4541
448	1539	4537
449	1542	4532
450	1546	4528
451	1549	4524
452	1552	4519
453	1555	4514
454	1558	4509
455	1561	4505
456	1564	4500
457	1567	4496
458	1570	4491
459	1573	4486
460	1575	4481
461	1578	4477
462	1582	4474
463	1585	4470
464	1588	4465
465	1592	4462
